theta0,theta1,value
-0.5,-5.0,-25.318239734176657
0.0,-5.0,-25.318239734176657
0.5,-5.0,-25.318239734176657
1.0,-5.0,-25.318239734176657
1.5,-5.0,-25.318239734176657
2.0,-5.0,-25.318239734176657
2.5,-5.0,-25.318239734176657
3.0,-5.0,-25.318239734176657
3.5,-5.0,-25.318239734176657
4.0,-5.0,-25.318239734176657
4.5,-5.0,-25.318239734176657
5.0,-5.0,-25.318239734176657
5.5,-5.0,-25.318239734176657
6.0,-5.0,-25.318239734176657
6.5,-5.0,-25.318239734176657
7.0,-5.0,-25.318239734176657
7.5,-5.0,-25.318239734176657
8.0,-5.0,-25.318239734176657
8.5,-5.0,-25.318239734176657
9.0,-5.0,-25.318239734176657
9.5,-5.0,-25.318239734176657
10.0,-5.0,-25.318239734176657
-10.0,-4.5,-25.316729987310023
-9.5,-4.5,-25.316729987310023
-9.0,-4.5,-25.316729987310023
-8.5,-4.5,-25.316729987310023
-8.0,-4.5,-25.316729987310023
-7.5,-4.5,-25.316729987310023
-7.0,-4.5,-25.316729987310023
-6.5,-4.5,-25.316729987310023
-6.0,-4.5,-25.316729987310023
-5.5,-4.5,-25.316729987310023
-5.0,-4.5,-25.316729987310023
-4.5,-4.5,-25.316729987310023
-4.0,-4.5,-25.316729987310023
-3.5,-4.5,-25.316729987310023
-3.0,-4.5,-25.316729987310023
-2.5,-4.5,-25.316729987310023
-2.0,-4.5,-25.316729987310023
-1.5,-4.5,-25.316729987310023
-1.0,-4.5,-25.316729987310023
-0.5,-4.5,-25.316729987310023
0.0,-4.5,-25.316729987310023
0.5,-4.5,-25.316729987310023
1.0,-4.5,-25.316729987310023
1.5,-4.5,-25.316729987310023
2.0,-4.5,-25.316729987310023
2.5,-4.5,-25.316729987310023
3.0,-4.5,-25.316729987310023
3.5,-4.5,-25.316729987310023
4.0,-4.5,-25.316729987310023
4.5,-4.5,-25.316729987310023
5.0,-4.5,-25.316729987310023
5.5,-4.5,-25.316729987310023
6.0,-4.5,-25.316729987310023
6.5,-4.5,-25.316729987310023
7.0,-4.5,-25.316729987310023
