theta0,theta1,bias
-2.0,-3.5,-1.04014
-1.5,-3.5,-1.02831
-1.0,-3.5,-1.00905
-0.5,-3.5,-0.978
0.0,-3.5,-0.92861
0.5,-3.5,-0.85176
1.0,-3.5,-0.73621
1.5,-3.5,-0.57129
2.0,-3.5,-0.35283
2.5,-3.5,-0.09116
3.0,-3.5,0.18594
3.5,-3.5,0.44248
4.0,-3.5,0.65141
4.5,-3.5,0.80447
5.0,-3.5,0.9084
5.5,-3.5,0.97562
6.0,-3.5,1.01788
6.5,-3.5,1.04403
7.0,-3.5,1.06007
7.5,-3.5,1.06987
8.0,-3.5,1.07583
8.5,-3.5,1.07946
9.0,-3.5,1.08166
9.5,-3.5,1.08299
10.0,-3.5,1.08381
-10.0,-3.0,-1.09484
-9.5,-3.0,-1.09483
-9.0,-3.0,-1.09482
-8.5,-3.0,-1.09481
-8.0,-3.0,-1.09478
-7.5,-3.0,-1.09473
-7.0,-3.0,-1.09464
-6.5,-3.0,-1.09451
-6.0,-3.0,-1.09428
-5.5,-3.0,-1.09392
-5.0,-3.0,-1.09331
-4.5,-3.0,-1.09231
-4.0,-3.0,-1.09067
-3.5,-3.0,-1.08796
-3.0,-3.0,-1.08352
-2.5,-3.0,-1.07622
-2.0,-3.0,-1.06429
-1.5,-3.0,-1.04489
-1.0,-3.0,-1.01359
-0.5,-3.0,-0.9638
0.0,-3.0,-0.88633
0.5,-3.0,-0.76984
1.0,-3.0,-0.60355
1.5,-3.0,-0.38326
2.0,-3.0,-0.11931
2.5,-3.0,0.16031
3.0,-3.0,0.41929
3.5,-3.0,0.63034
4.0,-3.0,0.78505
4.5,-3.0,0.89015
5.0,-3.0,0.95816
5.5,-3.0,1.00093
6.0,-3.0,1.02741
6.5,-3.0,1.04365
7.0,-3.0,1.05357
7.5,-3.0,1.05961
8.0,-3.0,1.06328
8.5,-3.0,1.06551
9.0,-3.0,1.06687
9.5,-3.0,1.06769
10.0,-3.0,1.06819
-10.0,-2.5,-1.1517
-9.5,-2.5,-1.15169
-9.0,-2.5,-1.15167
-8.5,-2.5,-1.15164
-8.0,-2.5,-1.15159
-7.5,-2.5,-1.15151
-7.0,-2.5,-1.15137
-6.5,-2.5,-1.15114
-6.0,-2.5,-1.15077
-5.5,-2.5,-1.15016
-5.0,-2.5,-1.14915
-4.5,-2.5,-1.14748
-4.0,-2.5,-1.14474
-3.5,-2.5,-1.14024
-3.0,-2.5,-1.13286
-2.5,-2.5,-1.12078
-2.0,-2.5,-1.10113
-1.5,-2.5,-1.06944
-1.0,-2.5,-1.01903
-0.5,-2.5,-0.94059
0.0,-2.5,-0.82263
0.5,-2.5,-0.6542
1.0,-2.5,-0.43101
