theta0,theta1,bias
9.5,-3.5,5.97069
10.0,-3.5,5.97069
-10.0,-3.0,2.95257
-9.5,-3.0,2.95257
-9.0,-3.0,2.95257
-8.5,-3.0,2.95257
-8.0,-3.0,2.95257
-7.5,-3.0,2.95257
-7.0,-3.0,2.95257
-6.5,-3.0,2.95257
-6.0,-3.0,2.95257
-5.5,-3.0,2.95257
-5.0,-3.0,2.95257
-4.5,-3.0,2.95257
-4.0,-3.0,2.95258
-3.5,-3.0,2.95258
-3.0,-3.0,2.95259
-2.5,-3.0,2.95266
-2.0,-3.0,2.95294
-1.5,-3.0,2.95423
-1.0,-3.0,2.95999
-0.5,-3.0,2.98553
0.0,-3.0,3.09485
0.5,-3.0,3.49985
1.0,-3.0,4.45257
1.5,-3.0,5.4053
2.0,-3.0,5.8103
2.5,-3.0,5.91961
3.0,-3.0,5.94516
3.5,-3.0,5.95092
4.0,-3.0,5.9522
4.5,-3.0,5.95249
5.0,-3.0,5.95256
5.5,-3.0,5.95257
6.0,-3.0,5.95257
6.5,-3.0,5.95257
7.0,-3.0,5.95257
7.5,-3.0,5.95257
8.0,-3.0,5.95257
8.5,-3.0,5.95257
9.0,-3.0,5.95257
9.5,-3.0,5.95257
10.0,-3.0,5.95257
-10.0,-2.5,2.92414
-9.5,-2.5,2.92414
-9.0,-2.5,2.92414
-8.5,-2.5,2.92414
-8.0,-2.5,2.92414
-7.5,-2.5,2.92414
-7.0,-2.5,2.92414
-6.5,-2.5,2.92414
-6.0,-2.5,2.92414
-5.5,-2.5,2.92414
-5.0,-2.5,2.92414
-4.5,-2.5,2.92414
-4.0,-2.5,2.92414
-3.5,-2.5,2.92415
-3.0,-2.5,2.92417
-2.5,-2.5,2.92428
-2.0,-2.5,2.92475
-1.5,-2.5,2.92687
-1.0,-2.5,2.93635
-0.5,-2.5,2.9781
0.0,-2.5,3.15172
0.5,-2.5,3.73097
1.0,-2.5,4.79152
1.5,-2.5,5.56653
2.0,-2.5,5.83621
2.5,-2.5,5.90406
3.0,-2.5,5.91964
3.5,-2.5,5.92314
4.0,-2.5,5.92392
4.5,-2.5,5.92409
5.0,-2.5,5.92413
5.5,-2.5,5.92414
6.0,-2.5,5.92414
6.5,-2.5,5.92414
7.0,-2.5,5.92414
7.5,-2.5,5.92414
8.0,-2.5,5.92414
8.5,-2.5,5.92414
9.0,-2.5,5.92414
9.5,-2.5,5.92414
10.0,-2.5,5.92414
-10.0,-2.0,2.8808
-9.5,-2.0,2.8808
-9.0,-2.0,2.8808
-8.5,-2.0,2.8808
-8.0,-2.0,2.8808
-7.5,-2.0,2.8808
-7.0,-2.0,2.8808
-6.5,-2.0,2.8808
-6.0,-2.0,2.8808
-5.5,-2.0,2.8808
-5.0,-2.0,2.8808
-4.5,-2.0,2.8808
-4.0,-2.0,2.8808
-3.5,-2.0,2.88081
-3.0,-2.0,2.88085
-2.5,-2.0,2.88102
-2.0,-2.0,2.8818
-1.5,-2.0,2.8853
-1.0,-2.0,2.90088
-0.5,-2.0,2.96873
0.0,-2.0,3.23841
0.5,-2.0,4.01342
1.0,-2.0,5.07397
1.5,-2.0,5.65322
2.0,-2.0,5.82684
2.5,-2.0,5.86859
3.0,-2.0,5.87806
3.5,-2.0,5.88019
4.0,-2.0,5.88066
4.5,-2.0,5.88077
5.0,-2.0,5.88079
5.5,-2.0,5.8808
6.0,-2.0,5.8808
6.5,-2.0,5.8808
7.0,-2.0,5.8808
7.5,-2.0,5.8808
8.0,-2.0,5.8808
8.5,-2.0,5.8808
9.0,-2.0,5.8808
9.5,-2.0,5.8808
10.0,-2.0,5.8808
-10.0,-1.5,2.81757
-9.5,-1.5,2.81757
-9.0,-1.5,2.81757
-8.5,-1.5,2.81757
-8.0,-1.5,2.81757
