method_name,seed,tuning_samples,learning_samples,total_samples
discounting_free_natural_sampling,92,0,1888,1888
discounting_free_natural_sampling,93,0,1904,1904
discounting_free_natural_sampling,94,0,1904,1904
discounting_free_natural_sampling,95,0,1888,1888
discounting_free_natural_sampling,96,0,2720,2720
discounting_free_natural_sampling,97,0,1504,1504
discounting_free_natural_sampling,98,0,1520,1520
discounting_free_natural_sampling,99,0,2256,2256
discounting_free_natural_sampling,100,0,1536,1536
discounting_free_natural_sampling,101,0,1872,1872
discounting_free_natural_sampling,102,0,2288,2288
discounting_free_natural_sampling,103,0,1888,1888
discounting_free_natural_sampling,104,0,1488,1488
discounting_free_natural_sampling,105,0,1520,1520
discounting_free_natural_sampling,106,0,1920,1920
discounting_free_natural_sampling,107,0,2320,2320
discounting_free_natural_sampling,108,0,1904,1904
discounting_free_natural_sampling,109,0,2288,2288
discounting_free_natural_sampling,110,0,1872,1872
discounting_free_natural_sampling,111,0,1472,1472
discounting_free_natural_sampling,112,0,1856,1856
discounting_free_natural_sampling,113,0,1872,1872
discounting_free_natural_sampling,114,0,1504,1504
discounting_free_natural_sampling,115,0,2272,2272
discounting_free_natural_sampling,116,0,2320,2320
discounting_free_natural_sampling,117,0,2656,2656
discounting_free_natural_sampling,118,0,2672,2672
discounting_free_natural_sampling,119,0,1488,1488
discounting_free_natural_sampling,120,0,1520,1520
discounting_free_natural_sampling,121,0,1488,1488
discounting_free_natural_sampling,122,0,2304,2304
discounting_free_natural_sampling,123,0,1920,1920
discounting_free_natural_sampling,124,0,1504,1504
discounting_free_natural_sampling,125,0,1904,1904
discounting_free_natural_sampling,126,0,2272,2272
discounting_free_natural_sampling,127,0,1872,1872
discounting_free_natural_sampling,128,0,1872,1872
discounting_free_natural_sampling,129,0,1488,1488
discounting_free_natural_sampling,130,0,2288,2288
discounting_free_natural_sampling,131,0,2320,2320
discounting_free_natural_sampling,132,0,2272,2272
discounting_free_natural_sampling,133,0,1904,1904
discounting_free_natural_sampling,134,0,1520,1520
discounting_free_natural_sampling,135,0,2320,2320
discounting_free_natural_sampling,136,0,1872,1872
discounting_free_natural_sampling,137,0,1872,1872
discounting_free_natural_sampling,138,0,2272,2272
discounting_free_natural_sampling,139,0,1904,1904
discounting_free_natural_sampling,140,0,1920,1920
discounting_free_natural_sampling,141,0,1872,1872
discounted_vanilla_exact,42,8730,125,8855
discounted_vanilla_exact,43,8730,125,8855
discounted_vanilla_exact,44,8730,125,8855
discounted_vanilla_exact,45,8730,125,8855
discounted_vanilla_exact,46,8730,125,8855
discounted_vanilla_exact,47,8730,125,8855
discounted_vanilla_exact,48,8730,125,8855
discounted_vanilla_exact,49,8730,125,8855
discounted_vanilla_exact,50,8730,125,8855
discounted_vanilla_exact,51,8730,125,8855
discounted_vanilla_exact,52,8730,125,8855
discounted_vanilla_exact,53,8730,125,8855
discounted_vanilla_exact,54,8730,125,8855
discounted_vanilla_exact,55,8730,125,8855
discounted_vanilla_exact,56,8730,125,8855
discounted_vanilla_exact,57,8730,125,8855
discounted_vanilla_exact,58,8730,125,8855
discounted_vanilla_exact,59,8730,125,8855
discounted_vanilla_exact,60,8730,125,8855
discounted_vanilla_exact,61,8730,125,8855
discounted_vanilla_exact,62,8730,125,8855
discounted_vanilla_exact,63,8730,125,8855
discounted_vanilla_exact,64,8730,125,8855
discounted_vanilla_exact,65,8730,125,8855
discounted_vanilla_exact,66,8730,125,8855
discounted_vanilla_exact,67,8730,125,8855
discounted_vanilla_exact,68,8730,125,8855
discounted_vanilla_exact,69,8730,125,8855
discounted_vanilla_exact,70,8730,125,8855
discounted_vanilla_exact,71,8730,125,8855
discounted_vanilla_exact,72,8730,125,8855
discounted_vanilla_exact,73,8730,125,8855
discounted_vanilla_exact,74,8730,125,8855
discounted_vanilla_exact,75,8730,125,8855
discounted_vanilla_exact,76,8730,125,8855
discounted_vanilla_exact,77,8730,125,8855
discounted_vanilla_exact,78,8730,125,8855
discounted_vanilla_exact,79,8730,125,8855
discounted_vanilla_exact,80,8730,125,8855
discounted_vanilla_exact,81,8730,125,8855
discounted_vanilla_exact,82,8730,125,8855
discounted_vanilla_exact,83,8730,125,8855
discounted_vanilla_exact,84,8730,125,8855
discounted_vanilla_exact,85,8730,125,8855
discounted_vanilla_exact,86,8730,125,8855
discounted_vanilla_exact,87,8730,125,8855
discounted_vanilla_exact,88,8730,125,8855
discounted_vanilla_exact,89,8730,125,8855
discounted_vanilla_exact,90,8730,125,8855
discounted_vanilla_exact,91,8730,125,8855
discounted_vanilla_exact,92,8730,125,8855
discounted_vanilla_exact,93,8730,125,8855
discounted_vanilla_exact,94,8730,125,8855
discounted_vanilla_exact,95,8730,125,8855
discounted_vanilla_exact,96,8730,125,8855
discounted_vanilla_exact,97,8730,125,8855
discounted_vanilla_exact,98,8730,125,8855
discounted_vanilla_exact,99,8730,125,8855
discounted_vanilla_exact,100,8730,125,8855
discounted_vanilla_exact,101,8730,125,8855
discounted_vanilla_exact,102,8730,125,8855
discounted_vanilla_exact,103,8730,125,8855
discounted_vanilla_exact,104,8730,125,8855
discounted_vanilla_exact,105,8730,125,8855
discounted_vanilla_exact,106,8730,125,8855
discounted_vanilla_exact,107,8730,125,8855
discounted_vanilla_exact,108,8730,125,8855
discounted_vanilla_exact,109,8730,125,8855
discounted_vanilla_exact,110,8730,125,8855
discounted_vanilla_exact,111,8730,125,8855
discounted_vanilla_exact,112,8730,125,8855
discounted_vanilla_exact,113,8730,125,8855
discounted_vanilla_exact,114,8730,125,8855
discounted_vanilla_exact,115,8730,125,8855
discounted_vanilla_exact,116,8730,125,8855
discounted_vanilla_exact,117,8730,125,8855
discounted_vanilla_exact,118,8730,125,8855
discounted_vanilla_exact,119,8730,125,8855
discounted_vanilla_exact,120,8730,125,8855
discounted_vanilla_exact,121,8730,125,8855
discounted_vanilla_exact,122,8730,125,8855
discounted_vanilla_exact,123,8730,125,8855
discounted_vanilla_exact,124,8730,125,8855
discounted_vanilla_exact,125,8730,125,8855
discounted_vanilla_exact,126,8730,125,8855
discounted_vanilla_exact,127,8730,125,8855
discounted_vanilla_exact,128,8730,125,8855
discounted_vanilla_exact,129,8730,125,8855
discounted_vanilla_exact,130,8730,125,8855
discounted_vanilla_exact,131,8730,125,8855
discounted_vanilla_exact,132,8730,125,8855
discounted_vanilla_exact,133,8730,125,8855
discounted_vanilla_exact,134,8730,125,8855
discounted_vanilla_exact,135,8730,125,8855
discounted_vanilla_exact,136,8730,125,8855
discounted_vanilla_exact,137,8730,125,8855
discounted_vanilla_exact,138,8730,125,8855
