theta0,theta1,gain
-7.0,-2.5,3.99969
-6.5,-2.5,3.9995
-6.0,-2.5,3.99917
-5.5,-2.5,3.99863
-5.0,-2.5,3.99775
-4.5,-2.5,3.99629
-4.0,-2.5,3.99389
-3.5,-2.5,3.98993
-3.0,-2.5,3.98344
-2.5,-2.5,3.97281
-2.0,-2.5,3.95546
-1.5,-2.5,3.92734
-1.0,-2.5,3.88225
-0.5,-2.5,3.81118
0.0,-2.5,3.70211
0.5,-2.5,3.54147
1.0,-2.5,3.31861
1.5,-2.5,3.03376
2.0,-2.5,2.70555
2.5,-2.5,2.36966
3.0,-2.5,2.06513
3.5,-2.5,1.81792
4.0,-2.5,1.63462
4.5,-2.5,1.50763
5.0,-2.5,1.42374
5.5,-2.5,1.37005
6.0,-2.5,1.33638
6.5,-2.5,1.31554
7.0,-2.5,1.30274
7.5,-2.5,1.29491
8.0,-2.5,1.29014
8.5,-2.5,1.28724
9.0,-2.5,1.28548
9.5,-2.5,1.28441
10.0,-2.5,1.28376
-10.0,-2.0,3.99997
-9.5,-2.0,3.99996
-9.0,-2.0,3.99993
-8.5,-2.0,3.99989
-8.0,-2.0,3.99981
-7.5,-2.0,3.99969
-7.0,-2.0,3.99949
-6.5,-2.0,3.99916
-6.0,-2.0,3.99862
-5.5,-2.0,3.99772
-5.0,-2.0,3.99625
-4.5,-2.0,3.99382
-4.0,-2.0,3.98983
-3.5,-2.0,3.98327
-3.0,-2.0,3.97252
-2.5,-2.0,3.95499
-2.0,-2.0,3.92657
-1.5,-2.0,3.881
-1.0,-2.0,3.80917
-0.5,-2.0,3.69894
0.0,-2.0,3.5366
0.5,-2.0,3.31136
1.0,-2.0,3.02349
1.5,-2.0,2.69179
2.0,-2.0,2.35232
2.5,-2.0,2.04456
3.0,-2.0,1.79472
3.5,-2.0,1.60947
4.0,-2.0,1.48113
4.5,-2.0,1.39635
5.0,-2.0,1.34208
5.5,-2.0,1.30806
6.0,-2.0,1.28699
6.5,-2.0,1.27405
7.0,-2.0,1.26615
7.5,-2.0,1.26133
8.0,-2.0,1.2584
8.5,-2.0,1.25661
9.0,-2.0,1.25553
9.5,-2.0,1.25488
10.0,-2.0,1.25448
-10.0,-1.5,3.99996
-9.5,-1.5,3.99993
-9.0,-1.5,3.99988
-8.5,-1.5,3.99981
-8.0,-1.5,3.99969
-7.5,-1.5,3.99948
-7.0,-1.5,3.99915
-6.5,-1.5,3.9986
-6.0,-1.5,3.99769
-5.5,-1.5,3.99619
-5.0,-1.5,3.99373
-4.5,-1.5,3.98967
-4.0,-1.5,3.98301
-3.5,-1.5,3.9721
-3.0,-1.5,3.9543
-2.5,-1.5,3.92544
-2.0,-1.5,3.87917
-1.5,-1.5,3.80624
-1.0,-1.5,3.69432
-0.5,-1.5,3.52949
0.0,-1.5,3.3008
0.5,-1.5,3.0085
1.0,-1.5,2.67171
1.5,-1.5,2.32703
2.0,-1.5,2.01454
2.5,-1.5,1.76087
3.0,-1.5,1.57277
3.5,-1.5,1.44247
4.0,-1.5,1.35638
4.5,-1.5,1.30129
5.0,-1.5,1.26674
5.5,-1.5,1.24535
6.0,-1.5,1.23221
6.5,-1.5,1.22419
7.0,-1.5,1.21929
7.5,-1.5,1.21632
8.0,-1.5,1.21451
8.5,-1.5,1.21341
9.0,-1.5,1.21274
9.5,-1.5,1.21234
10.0,-1.5,1.21209
-10.0,-1.0,3.99993
-9.5,-1.0,3.99988
-9.0,-1.0,3.99981
-8.5,-1.0,3.99968
-8.0,-1.0,3.99947
-7.5,-1.0,3.99913
-7.0,-1.0,3.99857
-6.5,-1.0,3.99764
-6.0,-1.0,3.99611
-5.5,-1.0,3.9936
-5.0,-1.0,3.98946
-4.5,-1.0,3.98266
-4.0,-1.0,3.97152
-3.5,-1.0,3.95335
-3.0,-1.0,3.9239
-2.5,-1.0,3.87668
-2.0,-1.0,3.80223
-1.5,-1.0,3.688
-1.0,-1.0,3.51975
-0.5,-1.0,3.28633
0.0,-1.0,2.98799
0.5,-1.0,2.64423
1.0,-1.0,2.29242
1.5,-1.0,1.97347
2.0,-1.0,1.71455
2.5,-1.0,1.52257
3.0,-1.0,1.38956
3.5,-1.0,1.3017
4.0,-1.0,1.24547
4.5,-1.0,1.2102
5.0,-1.0,1.18837
5.5,-1.0,1.17496
6.0,-1.0,1.16677
6.5,-1.0,1.16177
7.0,-1.0,1.15873
7.5,-1.0,1.15689
8.0,-1.0,1.15577
8.5,-1.0,1.15509
9.0,-1.0,1.15468
9.5,-1.0,1.15443
10.0,-1.0,1.15427
-10.0,-0.5,3.99988
-9.5,-0.5,3.9998
-9.0,-0.5,3.99967
-8.5,-0.5,3.99946
-8.0,-0.5,3.99911
-7.5,-0.5,3.99853
-7.0,-0.5,3.99758
-6.5,-0.5,3.99601
-6.0,-0.5,3.99343
-5.5,-0.5,3.98919
-5.0,-0.5,3.98222
-4.5,-0.5,3.9708
-4.0,-0.5,3.95217
-3.5,-0.5,3.92197
-3.0,-0.5,3.87354
-2.5,-0.5,3.7972
-2.0,-0.5,3.68006
-1.5,-0.5,3.50754
-1.0,-0.5,3.26818
-0.5,-0.5,2.96225
0.0,-0.5,2.60974
0.5,-0.5,2.24898
1.0,-0.5,1.92192
1.5,-0.5,1.65641
2.0,-0.5,1.45954
2.5,-0.5,1.32315
3.0,-0.5,1.23306
3.5,-0.5,1.17539
4.0,-0.5,1.13923
4.5,-0.5,1.11684
5.0,-0.5,1.10309
5.5,-0.5,1.09469
6.0,-0.5,1.08957
6.5,-0.5,1.08645
7.0,-0.5,1.08456
7.5,-0.5,1.08341
8.0,-0.5,1.08272
8.5,-0.5,1.08229
9.0,-0.5,1.08204
9.5,-0.5,1.08188
10.0,-0.5,1.08179
-10.0,0.0,3.9998
-9.5,0.0,3.99966
-9.0,0.0,3.99944
-8.5,0.0,3.99908
-8.0,0.0,3.99849
-7.5,0.0,3.99751
-7.0,0.0,3.9959
-6.5,0.0,3.99325
-6.0,0.0,3.98889
-5.5,0.0,3.98172
-5.0,0.0,3.96998
-4.5,0.0,3.95083
-4.0,0.0,3.91978
-3.5,0.0,3.87
-3.0,0.0,3.79153
-2.5,0.0,3.67111
-2.0,0.0,3.49376
-1.5,0.0,3.2477
-1.0,0.0,2.93321
-0.5,0.0,2.57085
0.0,0.0,2.2
0.5,0.0,1.86379
1.0,0.0,1.59085
1.5,0.0,1.38847
2.0,0.0,1.24827
2.5,0.0,1.15565
3.0,0.0,1.09638
3.5,0.0,1.0592
4.0,0.0,1.03619
4.5,0.0,1.02205
5.0,0.0,1.01342
5.5,0.0,1.00815
6.0,0.0,1.00495
6.5,0.0,1.003
7.0,0.0,1.00182
7.5,0.0,1.00111
8.0,0.0,1.00067
8.5,0.0,1.00041
9.0,0.0,1.00025
9.5,0.0,1.00015
10.0,0.0,1.00009
-10.0,0.5,3.99965
-9.5,0.5,3.99943
-9.0,0.5,3.99906
-8.5,0.5,3.99845
-8.0,0.5,3.99745
-7.5,0.5,3.99579
-7.0,0.5,3.99307
-6.5,0.5,3.98858
-6.0,0.5,3.98122
-5.5,0.5,3.96917
-5.0,0.5,3.94949
-4.5,0.5,3.9176
-4.0,0.5,3.86646
-3.5,0.5,3.78585
-3.0,0.5,3.66216
-2.5,0.5,3.47998
-2.0,0.5,3.22723
-1.5,0.5,2.90418
-1.0,0.5,2.53196
-0.5,0.5,2.15102
0.0,0.5,1.80565
0.5,0.5,1.52529
1.0,0.5,1.31741
1.5,0.5,1.17339
2.0,0.5,1.07825
2.5,0.5,1.01736
3.0,0.5,0.97917
3.5,0.5,0.95553
4.0,0.5,0.94102
4.5,0.5,0.93214
5.0,0.5,0.92673
5.5,0.5,0.92344
6.0,0.5,0.92145
6.5,0.5,0.92023
7.0,0.5,0.9195
7.5,0.5,0.91905
8.0,0.5,0.91878
8.5,0.5,0.91861
